track,fold,index,y_true,y_pred,abs_error,threshold_logit_1,threshold_logit_2,threshold_logit_3,threshold_logit_4,class_prob_1,class_logit_1,class_prob_2,class_logit_2,class_prob_3,class_logit_3,class_prob_4,class_logit_4,class_prob_5,class_logit_5
chief_complaint,3,3,4,3,1,4.586,1.893,-2.963,-5.125,0.009766,-4.63,0.1211,-2.111,0.82,-0.1986,0.04318,-3.143,0.005913,-5.13
chief_complaint,3,7,4,4,0,4.914,3.162,0.8613,-2.164,0.007812,-4.85,0.0327,-3.42,0.2568,-1.359,0.5996,-0.5117,0.1031,-2.271
chief_complaint,3,10,4,4,0,5.035,3.023,0.3315,-3.307,0.006836,-4.984,0.03955,-3.23,0.3716,-0.9897,0.547,-0.6035,0.03534,-3.342
chief_complaint,3,23,4,3,1,4.977,2.502,-0.903,-3.742,0.00684,-4.984,0.0689,-2.676,0.636,-0.4521,0.2654,-1.326,0.02316,-3.766
chief_complaint,3,28,3,3,0,4.734,2.484,-2.764,-4.945,0.00879,-4.734,0.0679,-2.69,0.8643,-0.1459,0.05225,-2.951,0.00707,-4.953
chief_complaint,3,46,4,3,1,5.203,2.223,-0.9434,-4.137,0.00586,-5.14,0.0918,-2.389,0.622,-0.4746,0.2646,-1.329,0.01573,-4.152
chief_complaint,3,51,4,3,1,4.14,0.706,-1.089,-3.07,0.01563,-4.16,0.315,-1.155,0.4175,-0.8735,0.2076,-1.572,0.04434,-3.115
chief_complaint,3,56,4,4,0,4.074,2.834,1.081,-1.232,0.01611,-4.13,0.03906,-3.242,0.1982,-1.618,0.521,-0.652,0.2257,-1.488
chief_complaint,3,58,3,4,1,4.785,2.78,1.023,-2.414,0.00879,-4.734,0.0498,-3.0,0.2056,-1.582,0.654,-0.425,0.0821,-2.5
chief_complaint,3,62,2,3,1,3.576,0.0096,-3.217,-4.457,0.02734,-3.6,0.4702,-0.7544,0.4639,-0.768,0.02708,-3.61,0.01146,-4.47
chief_complaint,3,71,2,3,1,3.895,0.1599,-3.072,-4.527,0.02002,-3.91,0.44,-0.8213,0.4958,-0.7017,0.03357,-3.395,0.0107,-4.54
chief_complaint,3,77,3,3,0,4.51,2.04,-0.4194,-3.285,0.01074,-4.535,0.104,-2.264,0.4888,-0.716,0.3604,-1.0205,0.03607,-3.322
chief_complaint,3,80,4,4,0,5.04,3.006,0.4028,-3.271,0.006836,-4.984,0.04053,-3.205,0.353,-1.041,0.563,-0.5747,0.03656,-3.309
chief_complaint,3,82,3,3,0,4.875,1.682,-2.068,-4.445,0.007812,-4.85,0.1489,-1.904,0.731,-0.3135,0.1007,-2.295,0.0116,-4.457
chief_complaint,3,91,4,3,1,5.027,1.917,-0.983,-4.13,0.006836,-4.984,0.1216,-2.107,0.599,-0.512,0.2566,-1.36,0.01584,-4.145
chief_complaint,3,93,4,3,1,5.0,2.227,-0.4604,-3.54,0.006836,-4.984,0.09033,-2.404,0.516,-0.6616,0.3584,-1.026,0.02821,-3.568
chief_complaint,3,95,4,4,0,4.914,3.162,0.8613,-2.164,0.007812,-4.85,0.0327,-3.42,0.2568,-1.359,0.5996,-0.5117,0.1031,-2.271
chief_complaint,3,96,4,4,0,4.816,2.855,0.7817,-1.754,0.007812,-4.85,0.04688,-3.06,0.2588,-1.352,0.539,-0.618,0.1476,-1.913
chief_complaint,3,99,3,3,0,4.668,2.19,-0.3835,-3.855,0.009766,-4.63,0.0913,-2.393,0.494,-0.7056,0.3843,-0.9565,0.02072,-3.877
chief_complaint,3,109,2,3,1,3.51,0.09125,-2.828,-4.19,0.0293,-3.531,0.4478,-0.8037,0.467,-0.761,0.04095,-3.195,0.0149,-4.207
chief_complaint,3,110,3,3,0,4.27,0.84,-1.869,-3.98,0.01367,-4.293,0.2876,-1.246,0.565,-0.571,0.11536,-2.16,0.01834,-3.998
chief_complaint,3,116,2,3,1,4.062,0.385,-2.05,-4.598,0.01709,-4.07,0.3877,-0.9478,0.4812,-0.7314,0.104,-2.264,0.00997,-4.61
chief_complaint,3,117,2,3,1,5.133,1.708,-0.832,-4.055,0.00586,-5.14,0.148,-1.911,0.543,-0.611,0.2861,-1.251,0.01704,-4.07
chief_complaint,3,129,3,3,0,5.137,2.28,-0.997,-4.086,0.00586,-5.14,0.0869,-2.443,0.6377,-0.45,0.253,-1.375,0.01653,-4.1
chief_complaint,3,146,3,3,0,4.133,0.692,-2.404,-4.15,0.01563,-4.16,0.3179,-1.146,0.5835,-0.5386,0.06726,-2.7,0.01553,-4.164
chief_complaint,3,148,3,4,1,4.836,2.639,0.1816,-3.434,0.007812,-4.85,0.0586,-2.838,0.3882,-0.9463,0.514,-0.665,0.03128,-3.465
chief_complaint,3,149,4,4,0,5.035,3.023,0.3315,-3.307,0.006836,-4.984,0.03955,-3.23,0.3716,-0.9897,0.547,-0.6035,0.03534,-3.342
chief_complaint,3,167,4,4,0,4.99,3.17,0.65,-3.297,0.006836,-4.984,0.0337,-3.39,0.3022,-1.196,0.6216,-0.4756,0.03568,-3.334
chief_complaint,3,168,4,4,0,4.87,3.201,1.115,-2.846,0.007812,-4.85,0.03174,-3.451,0.2075,-1.572,0.698,-0.3591,0.0549,-2.902
chief_complaint,3,172,4,4,0,5.035,3.023,0.3315,-3.307,0.006836,-4.984,0.03955,-3.23,0.3716,-0.9897,0.547,-0.6035,0.03534,-3.342
chief_complaint,3,180,3,3,0,4.297,1.188,-1.885,-4.426,0.01367,-4.293,0.2197,-1.516,0.635,-0.4546,0.12,-2.121,0.011826,-4.438
chief_complaint,3,184,3,3,0,5.023,1.928,-0.5312,-3.506,0.006836,-4.984,0.1201,-2.12,0.503,-0.6875,0.341,-1.076,0.02914,-3.535
chief_complaint,3,185,3,3,0,4.824,2.506,-2.553,-4.844,0.007812,-4.85,0.0679,-2.69,0.852,-0.1602,0.0644,-2.742,0.00782,-4.85
chief_complaint,3,186,4,4,0,5.164,2.723,0.0751,-3.662,0.00586,-5.14,0.05566,-2.889,0.42,-0.8677,0.4934,-0.7065,0.02504,-3.688
chief_complaint,3,188,4,4,0,5.027,2.883,0.3118,-3.562,0.006836,-4.984,0.0459,-3.082,0.37,-0.994,0.55,-0.598,0.02759,-3.59
chief_complaint,3,189,3,3,0,4.39,1.217,-1.4795,-4.07,0.012695,-4.367,0.2158,-1.533,0.586,-0.5347,0.1687,-1.779,0.01678,-4.086
chief_complaint,3,195,3,3,0,4.11,1.927,-0.4514,-3.38,0.01611,-4.13,0.11084,-2.2,0.484,-0.726,0.3562,-1.032,0.0329,-3.414
