track,fold,index,y_true,y_pred,abs_error,threshold_logit_1,threshold_logit_2,threshold_logit_3,threshold_logit_4,class_prob_1,class_logit_1,class_prob_2,class_logit_2,class_prob_3,class_logit_3,class_prob_4,class_logit_4,class_prob_5,class_logit_5
chief_complaint_smoke,2,0,3,3,0,3.83,1.853,-0.753,-3.611,0.021,-3.863,0.11475,-2.164,0.544,-0.609,0.294,-1.225,0.02632,-3.637
chief_complaint_smoke,2,4,4,3,1,3.812,1.95,-0.2203,-3.338,0.02197,-3.818,0.103,-2.273,0.4297,-0.8447,0.4111,-0.8887,0.0343,-3.373
chief_complaint_smoke,2,6,2,3,1,3.383,1.732,-0.79,-3.088,0.03323,-3.404,0.11725,-2.143,0.5376,-0.6206,0.2688,-1.313,0.04364,-3.13
chief_complaint_smoke,2,7,5,3,2,3.527,1.633,-0.1847,-3.094,0.02832,-3.564,0.1353,-2.0,0.3826,-0.961,0.4104,-0.8906,0.04337,-3.139
chief_complaint_smoke,2,11,2,3,1,3.822,1.886,-0.6685,-3.607,0.021,-3.863,0.11035,-2.203,0.53,-0.6353,0.3125,-1.163,0.0264,-3.635
chief_complaint_smoke,2,12,3,3,0,3.725,1.825,-0.511,-3.557,0.02393,-3.732,0.11475,-2.164,0.4866,-0.72,0.347,-1.059,0.02776,-3.584
chief_complaint_smoke,2,13,4,3,1,3.738,1.884,-0.4397,-3.387,0.02295,-3.775,0.1094,-2.213,0.4756,-0.743,0.3594,-1.023,0.0327,-3.42
chief_complaint_smoke,2,20,3,3,0,3.898,2.146,-0.5547,-3.541,0.02002,-3.91,0.08496,-2.465,0.5303,-0.6343,0.3367,-1.089,0.02817,-3.57
chief_complaint_smoke,2,23,5,3,2,3.479,1.466,-0.4631,-3.143,0.03027,-3.498,0.1572,-1.85,0.4263,-0.8525,0.3447,-1.065,0.0414,-3.184
chief_complaint_smoke,2,24,3,3,0,3.91,2.012,-0.772,-3.65,0.02003,-3.91,0.0982,-2.32,0.566,-0.5693,0.291,-1.234,0.02533,-3.676
chief_complaint_smoke,2,28,3,3,0,3.924,2.055,-0.7153,-3.59,0.01904,-3.96,0.09424,-2.361,0.5586,-0.5825,0.3015,-1.199,0.02687,-3.617
chief_complaint_smoke,2,29,3,3,0,3.969,1.928,-0.6855,-3.67,0.01807,-4.016,0.1089,-2.217,0.538,-0.6196,0.31,-1.171,0.02484,-3.695
